点数,店名,星5段階評価,価格,項目,現在地点からの徒歩(分),声の大きさ,緯度,経度
3.743449799866578,ラーメン 豚山 北千住東口店,0.8937500000000002,1.0496997998665776,ラーメン,1.7,0.1,35.749496,139.806488
3.624939841836803,横浜ラーメン 武蔵家 北千住店,0.9262500000000002,1.0496997998665776,ラーメン,1.548990041970225,0.1,35.749458,139.806976
3.4341961495450044,千住メンチ館,0.7962500000000001,0.5354386967705059,居酒屋,1.1025074527744985,1.0,35.748703,139.803726
3.420154652129739,ASIAN BISTRO REW-EN（アジアンビストロ リュウエン）,0.5850000000000003,0.6896758703481394,居酒屋,1.145478781781599,1.0,35.747631,139.803818
3.413356644475457,雲林坊 北千住東口店,0.7962500000000001,1.0496997998665776,ラーメン,1.4674068446088793,0.1,35.74971,139.805756
3.4059572526410764,千住 チャーシュー軒,1.1537500000000003,1.0496997998665776,ラーメン,1.1025074527744985,0.1,35.748703,139.803726
3.3564052764663024,九州人情酒場 魚星 北千住東口店,0.24375000000000044,0.4497666148032896,居酒屋,1.6628886616630123,1.0,35.749485,139.806656
3.3032172641539397,伍えん,0.7800000000000005,0.4497666148032896,居酒屋,1.0734506493506493,1.0,35.747456,139.803741
3.296242372708302,サカナバル コラーレ,0.7312500000000002,0.5354386967705059,居酒屋,1.029553675937796,1.0,35.749016,139.803711
3.272533155286668,らぁ麺屋のさかいさん,1.1537500000000003,1.0496997998665776,ラーメン,0.9690833554200903,0.1,35.750366,139.806442
3.1943202907410857,雑賀 北千住駅前店（サイカ）,0.7150000000000004,0.4497666148032896,居酒屋,1.029553675937796,1.0,35.749016,139.803711
3.144461054363408,千住屋 北千住店,0.39000000000000024,0.5354386967705059,居酒屋,1.219022357592902,1.0,35.747906,139.803864
3.104023093841642,日高屋 北千住東口店,0.16250000000000003,1.5,ラーメン,1.3415230938416423,0.1,35.749397,139.80748
3.0346489834112447,心技体酒場,0.66625,0.4497666148032896,居酒屋,0.9186323686079547,1.0,35.749725,139.80397
2.9824009202148147,酒と魚 千住 845（ハシゴ）,0.7150000000000004,0.5354386967705059,居酒屋,0.7319622234443082,1.0,35.748756,139.80275
2.889992372708302,日本酒バル 異な味な,0.3250000000000002,0.5354386967705059,居酒屋,1.029553675937796,1.0,35.749016,139.803711
2.824553675937796,天丼てんや 北千住西口店,0.19500000000000003,1.5,そば,1.029553675937796,0.1,35.749016,139.803711
2.7950392830185606,麺屋 音（オト）,1.2025,1.0496997998665776,ラーメン,0.4428394831519832,0.1,35.751781,139.803925
2.7786323686079553,名代 富士そば 北千住店,0.2600000000000001,1.5,そば,0.9186323686079547,0.1,35.749725,139.80397
2.7140710653784605,かつぺい 屋根裏（【旧店名】痛風牡蠣と海鮮居酒屋 ゑびす商店）,0.2600000000000001,0.5354386967705059,居酒屋,0.9186323686079547,1.0,35.749725,139.80397
2.696240351152027,つけめん さなだ,1.3,1.0496997998665776,ラーメン,0.24654055128544924,0.1,35.751865,139.800674
2.66029353827103,中華蕎麦 三藤 北千住マルイ店,0.8937500000000002,1.0496997998665776,ラーメン,0.6168437384044526,0.1,35.751083,139.804565
2.62194662793347,そば処 JR北千住駅1番線ホーム店,0.66625,1.5,そば,0.35569662793347,0.1,35.752808,139.806046
2.6056966279334706,そば処 JR北千住駅2・3番線ホーム店,0.6500000000000004,1.5,そば,0.35569662793347,0.1,35.752808,139.806046
2.5700845946426973,麺屋 音 別邸（メンヤ オト ベッテイ）,1.08875,1.0496997998665776,ラーメン,0.3316347947761194,0.1,35.75259,139.80365
2.5377290933343044,きそば 柏屋（かしわや）,0.8775000000000005,1.0496997998665776,そば,0.5105292934677262,0.1,35.749481,139.801926
2.5324430572133387,炭火野菜巻串と焼売 博多うずまき 北千住店,0.7637500000000002,0.4497666148032896,居酒屋,0.3189264424100489,1.0,35.751411,139.801468
2.478236766756076,炭火焼鳥 激太鳥 北千住店（ゲキブトリ）,0.2600000000000001,0.5354386967705059,居酒屋,0.6827980699855698,1.0,35.749813,139.803101
2.4769390494529673,大阪焼肉・ホルモン ふたご 北千住店,0.22750000000000006,0.5354386967705059,居酒屋,0.7140003526824612,1.0,35.749325,139.802902
2.4443437384044526,凜や 北千住店,0.22750000000000006,1.5,そば,0.6168437384044526,0.1,35.751083,139.804565
2.395593738404453,越後そば 北千住店,0.17875000000000038,1.5,そば,0.6168437384044526,0.1,35.751083,139.804565
2.3854814151365873,東京油組総本店 北千住組,0.22750000000000006,1.5,ラーメン,0.5579814151365874,0.1,35.750614,139.803162
2.287873526530539,スタンド バイ ミー（STAND BY ME）,0.8937500000000002,1.0496997998665776,ラーメン,0.24442372666396106,0.1,35.75042,139.799545
2.2806966279334704,小諸そば EQUiA 北千住店,0.3250000000000002,1.5,そば,0.35569662793347,0.1,35.752808,139.806046
2.2503335500999175,宗庵 北千住店,0.7150000000000004,1.0496997998665776,ラーメン,0.3856337502333395,0.1,35.749676,139.80101
2.2156966279334704,天丼てんや エキア北千住店,0.2600000000000001,1.5,そば,0.35569662793347,0.1,35.752808,139.806046
2.2023022940166337,まるた酒場 とり君,0.17875000000000038,0.5354386967705059,居酒屋,0.48811359724612735,1.0,35.750137,139.802155
2.1565435382710305,信州蕎麦 蓼科庵 北千住マルイ店（シンシュウソバ タテシナアン）,0.39000000000000024,1.0496997998665776,そば,0.6168437384044526,0.1,35.751083,139.804565
2.15401013631259,そば酒房 碧夢,0.24375000000000044,0.6896758703481394,そば,1.1205842659644503,0.1,35.748302,139.80368
2.143373593322031,東池袋 大勝軒 ○高屋（まるたかや）,0.7800000000000005,1.0496997998665776,ラーメン,0.21367379345545284,0.1,35.752907,139.801163
2.0924978698521475,らぁ麺 はやし田 北千住店,0.2600000000000001,1.0496997998665776,ラーメン,0.6827980699855698,0.1,35.749813,139.803101
2.057896427800048,北海道らーめん奥原流 久楽 北千住店,0.5525000000000002,1.0496997998665776,ラーメン,0.35569662793347,0.1,35.752808,139.806046
2.0142295462859354,笑店,0.19500000000000003,0.6896758703481394,そば,1.029553675937796,0.1,35.749016,139.803711
1.878721931404765,やなぎ家（そば処 柳家）,0.4062500000000006,1.0496997998665776,そば,0.3227721315381865,0.1,35.747063,139.811935
1.8717792934677266,魚と牡蠣 汐彩よりみち 北千住店,0.2112500000000004,0.15000000000000002,居酒屋,0.5105292934677262,1.0,35.749161,139.801788
1.8303964278000477,紅虎餃子房 ルミネ北千住店（べにとらぎょうざぼう）,0.3250000000000002,1.0496997998665776,ラーメン,0.35569662793347,0.1,35.752808,139.806046
1.815679063829216,どさん子 千住一丁目店,0.16250000000000003,1.0496997998665776,ラーメン,0.5034792639626383,0.1,35.747635,139.801636
1.2318565573770497,きそば更科,0.24375000000000044,0.15000000000000002,そば,0.7381065573770491,0.1,35.74575,139.807648
1.0239264424100494,らあめん 雅知（ガチ）,0.4550000000000003,0.15000000000000002,ラーメン,0.3189264424100489,0.1,35.75246,139.803024
0.8912500000000005,つけ蕎麦 すみ,0.4712500000000005,0.15000000000000002,そば,0.17,0.1,35.749435,139.797729
0.8656966279334701,寿家（コトブキヤ）,0.2600000000000001,0.15000000000000002,そば,0.35569662793347,0.1,35.745182,139.801758
0.7513539661777073,生そば 中川屋本店（なかがわやほんてん）,0.29250000000000015,0.15000000000000002,そば,0.20885396617770718,0.1,35.754292,139.804367
0.7096396888427557,天下一品 北千住店,0.13,0.15000000000000002,ラーメン,0.32963968884275574,0.1,35.750484,139.800842
