星5段階評価,店名,ジャンル,お問い合わせ,予約可否,住所,交通手段,営業時間,Dinner,Lunch,支払い方法,予約・ お問い合わせ
3.07,凜や 北千住店,そば、麺類、丼,03-4376-5224,予約不可,東京都足立区千住3-92 ミルディスフードコート,北千住駅から183m,10:30 - 21:00 L.O. 20:45 【定休日】施設に準ずる 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,～￥999,～￥999,カード可 電子マネー可 QRコード決済可,
3.09,天丼てんや エキア北千住店,天丼、天ぷら、そば,03-5284-1705,予約不可,東京都足立区千住旭町42-1 東武北千住駅２Ｆコンコース,北千住駅から40m,07:00 - 22:00 L.O. 21:30 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,～￥999,～￥999,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、WAON、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）,
3.33,そば処 JR北千住駅2・3番線ホーム店,立ち食いそば、丼、カレー,03-3870-9329,予約不可,東京都足立区千住旭町42-1 ＪＲ北千住駅2・3番線ホーム内,ＪＲ北千住駅 2・3番線 常磐線上りホーム内 階段下 北千住駅から24m,月・火・水・木・金 06:30 - 20:00 土 06:30 - 19:00 日・祝日 07:00 - 15:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,～￥999,～￥999,カード不可 電子マネー可 （交通系電子マネー（Suicaなど）） QRコード決済不可,
3.08,そば酒房 碧夢,居酒屋、そば,,予約可,東京都足立区千住1-32-2 2F このお店は「足立区千住1-39-9」から移転しています。 ※移転前の情報は最新のものとは異なります。 移転前の店舗情報を見る,北千住駅から157m,Non-Info,"￥2,000～￥2,999",Non-Info,カード不可 電子マネー不可,03-5244-2669
3.09,寿家（コトブキヤ）,そば、うどん,,予約可,東京都足立区千住仲町31-5,電車、バス、マイカー 千住大橋駅から533m,月・火・水・木・金・土 11:30 - 14:30 17:00 - 20:00 日・祝日 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,Non-Info,～￥999,カード不可 電子マネー可 QRコード決済不可,03-3881-7848
3.34,そば処 JR北千住駅1番線ホーム店,立ち食いそば、丼、カレー,非公開,予約不可,東京都足立区千住旭町42-1 JR北千住駅1番線ホーム,ＪＲ北千住駅 1番線 常磐線下りホーム内 中央付近 北千住駅から54m,月・火・水・木・金 06:30 - 20:00 土 06:30 - 19:00 日・祝日 07:00 - 15:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,～￥999,～￥999,カード不可 電子マネー可 QRコード決済不可,
3.13,小諸そば EQUiA 北千住店,立ち食いそば、麺類、カレーうどん,03-3881-0655,予約不可,"東京都足立区千住旭町42-1 東武鉄道北千住駅3,4番線ホーム",東武スカイツリーライン 北千住駅 改札内浅草方面 3·4番線 1階ホーム 北千住駅から37m,月・火・水・木・金 06:00 - 23:00 土・日・祝日 06:00 - 22:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,～￥999,～￥999,カード不可 電子マネー可 （交通系電子マネー（Suicaなど）） QRコード決済不可,
3.47,きそば 柏屋（かしわや）,そば、あなご、かつ丼,,予約可 土日祝祭日は予約不可,東京都足立区千住2-32,北千住駅から、徒歩5分（0.4km）です。 北千住駅から248m,11:00 - 20:30 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,"￥1,000～￥1,999","￥1,000～￥1,999",カード不可 電子マネー不可 QRコード決済不可,03-3881-2807
3.18,やなぎ家（そば処 柳家）,そば、うどん、カレー,03-3881-0204,予約不可,東京都足立区柳原2丁目18-8,東武伊勢崎線「牛田駅」北口から、徒歩4分（0.4km）です。京成本線「京成関屋駅」北口から、徒歩5分（0.5km）です。北千住駅から、徒歩9分(0.8km)です。 牛田駅から310m,Non-Info,"￥1,000～￥1,999","￥1,000～￥1,999",カード不可 電子マネー不可 QRコード決済不可,
3.04,越後そば 北千住店,そば、立ち食いそば,03-4376-5224,予約不可,東京都足立区千住3-92 北千住マルイ フードコート内,北千住駅から徒歩１分程度です 北千住駅から161m,10:00 - 20:00 ■ 定休日北千住マルイに準じる 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,～￥999,～￥999,カード不可 電子マネー可 QRコード決済可,
