星5段階評価,店名,ジャンル,お問い合わせ,予約可否,住所,交通手段,営業時間,Dinner,Lunch,支払い方法,サービス料・チャージ
3.60,麺屋 音 別邸（メンヤ オト ベッテイ）,ラーメン,03-5284-1139,予約不可,東京都足立区千住4-19-11,北千住駅から徒歩5分 北千住駅から384m,11:30 - 00:00 ■ 定休日無,"￥1,000～￥1,999","￥1,000～￥1,999",カード不可 電子マネー不可,
3.67,麺屋 音（オト）,ラーメン、つけ麺,03-3882-3922,予約不可,東京都足立区千住3-60 土井川ビル 1F,北千住駅から徒歩5分 北千住駅から341m,月・火・水・木・日 11:00 - 00:00 金・土 11:00 - 01:00 ■ 定休日無,"￥1,000～￥1,999","￥1,000～￥1,999",カード不可 電子マネー不可 QRコード決済不可,
3.38,らーめん 桔梗と空 千住寿町店,ラーメン,03-5888-6776,予約不可,東京都足立区千住寿町2-17 サンモール千住 1F このお店は「足立区西新井栄町1-12-8」から移転しています。 ※移転前の情報は最新のものとは異なります。 移転前の店舗情報を見る,北千住駅西口から徒歩7分 北千住駅から524m,火・水・木・金・土 11:00 - 21:00 日 11:00 - 16:00 月 定休日 [営業時間] ※ 11:00～スープ切れまで ※ラストオーダー閉店15分前[定休日] 毎週月曜日、第2・第4火曜日,"￥1,000～￥1,999","￥1,000～￥1,999",カード不可 電子マネー不可 QRコード決済不可,
3.25,肉玉そば おとど 北千住店,ラーメン,03-6806-1054,予約不可,東京都足立区千住2-62,JR北千住駅西口から徒歩2分--- 北千住駅から94m,Non-Info,"￥1,000～￥1,999","￥1,000～￥1,999",カード不可 電子マネー不可 QRコード決済不可,
3.64,らぁ麺屋のさかいさん,ラーメン、油そば・まぜそば,不明の為情報お待ちしております,予約不可,東京都足立区千住旭町43-13,北千住駅から171m,月・火・木・金・土 11:30 - 14:30 18:00 - 21:00 日・祝日 11:30 - 16:00 水 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,"￥1,000～￥1,999","￥1,000～￥1,999",カード不可 電子マネー不可 QRコード決済不可,
3.08,手打ちラーメン珍来 北千住店（チンライ）,ラーメン、中華料理、餃子,03-3870-4506,予約不可,東京都足立区千住旭町27-14,千住駅から、徒歩3分（0.3km）です。 北千住駅から354m,月・火・木・金・土・日 11:00 - 00:00 水 定休日 当面の間16:00～17:30は休憩(15:45LO) 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,"￥1,000～￥1,999","￥1,000～￥1,999",カード不可 電子マネー不可 QRコード決済可,
3.19,金斗雲 北千住店,ラーメン,不明の為情報お待ちしております,予約不可,東京都足立区千住2-36-2,北千住駅から264m,月・火・水・木・金・土 11:00 - 15:00 17:00 - 21:00 L.O. 20:30 日 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,"￥1,000～￥1,999","￥1,000～￥1,999",カード不可 電子マネー不可 QRコード決済不可,
3.70,北千住煮干中華蕎麦 かれん,ラーメン,不明の為情報お待ちしております,予約不可,東京都足立区千住2-52,北千住駅から146m,月・火・水・木・金 11:30 - 22:45 土 11:00 - 22:45 日・祝日 11:00 - 21:00 詳しくはお店のXまで。 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,"￥1,000～￥1,999","￥1,000～￥1,999",カード不可 電子マネー不可 QRコード決済不可,
3.50,ラーメン鷹の目 北千住店,ラーメン,不明の為情報お待ちしております,予約不可,東京都足立区千住2-29,北千住駅から255m,11:00 - 15:00 17:00 - 22:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,"￥1,000～￥1,999","￥1,000～￥1,999",カード不可 電子マネー不可 QRコード決済不可,
3.05,福しん 北千住東口店,ラーメン,03-3870-0256,予約不可,東京都足立区千住旭町41-2,ＪＲ常磐線 北千住駅東口、すぐ 北千住駅から80m,月・火・水・木・金・土 11:00 - 02:00 L.O. 料理01:45 日 11:00 - 22:00 L.O. 料理21:45,"￥1,000～￥1,999",～￥999,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）,
