星5段階評価,店名,ジャンル,予約・ お問い合わせ,予約可否,住所,交通手段,営業時間,Dinner,Lunch,支払い方法,サービス料・チャージ,領収書（適格簡易請求書）
3.07,肉汁餃子のダンダダン 北千住きたろーど店,餃子、居酒屋、中華料理,050-5594-0958,予約可,東京都足立区千住2-55,北千住駅 徒歩1分 北千住駅から173m,月・火・水・木・金 11:30 - 15:00 L.O. 14:30 16:00 - 00:00 L.O. 料理23:00 ドリンク23:30 土・日・祝日 11:30 - 00:00 L.O. 料理23:00 ドリンク23:30 ■ 営業時間年末年始は【特別営業】となる場合がございます。詳細の営業状況は店舗へ直接ご連絡頂くか、弊社HPをご確認ください。,"￥2,000～￥2,999","￥1,000～￥1,999",カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）,席料お一人様180円（税込198円） （15時以降入店の19歳以上のお客様）,
3.11,天ぷら新宿つな八 北千住店,天ぷら、海鮮、居酒屋,050-5595-7600,予約可,東京都足立区千住3-92 千住ミルディス ９Ｆ,ＪＲ常磐線北千住駅 西口 徒歩1分 北千住駅から155m,月・火・水・木・金 11:00 - 21:00 L.O. 20:00 土・日・祝日 11:00 - 22:00 L.O. 21:00 ■ ランチ営業時間11:00 - 16:00 （L.O.16:00）■ 定休日不定休 （千住ミルディスに準ずる）,Non-Info,"￥3,000～￥3,999",カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,,
3.35,Italian Dining Vittoria 北千住店（イタリアン ダイニング ヴィットリア）,イタリアン、居酒屋、ビストロ,050-5595-7001,予約可 「食べログを見たのですが」と一言いただけると対応がスムーズになりありがたいです♪,東京都足立区千住3-53 増田ビル 2Ｆ,北千住駅から、徒歩5分（0.4km）です。 北千住駅から352m,月・火・水・木・金 17:00 - 23:30 L.O. 料理22:30 ドリンク23:00 土 12:00 - 15:00 L.O. 料理14:00 ドリンク14:30 17:00 - 23:30 L.O. 料理22:30 ドリンク23:00 日・祝日 12:00 - 15:00 L.O. 14:00 17:00 - 23:30 L.O. 料理22:30 ドリンク23:00 ■ 定休日不定休,"￥3,000～￥3,999","￥1,000～￥1,999",カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可 （PayPay）,サービス料:390円,
3.07,大阪焼肉・ホルモン ふたご 北千住店,焼肉、ホルモン、居酒屋,050-5596-5800,予約可 ・車、自転車でご来店のお客様へアルコールの提供は控えさせて頂きます。【数量限定】予約時にスタッフへお申し付けください。黒毛和牛のはみ出るカルビ（2～4名で1枚）・会員価格：1980円（税込：2178円）・一般価格：2480円（税込：2728円）ご要望の場合は、要望欄にご記載ください。,東京都足立区千住2-48-2 染谷ビル 1F,北千住駅より徒歩3分◎駅から近いお店です！お気軽にご来店ください！ 北千住駅から223m,月・火・水・木・金・土 12:00 - 00:00 L.O. 23:30 日・祝日 12:00 - 23:30 L.O. 23:00 ■ 定休日＜年中無休＞ ※1/1～1/3は除く年末年始の営業時間については、HPをご確認ください。または、直接店舗へお問い合わせください。,"￥3,000～￥3,999","￥4,000～￥4,999",カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）,サービス料5％,適格請求書（インボイス）対応の領収書発行が可能 登録番号：T9010701023430 ※最新の登録状況は国税庁インボイス制度適格請求書発行事業者公表サイトをご確認いただくか、店舗にお問い合わせください。
3.17,千住屋 北千住店,居酒屋、海鮮、焼き鳥,050-5456-3418,予約可 予約をキャンセル、変更する場合は、以下の通りです。コース予約当日キャンセル - 100％前日キャンセル - 100％2日前キャンセル - 100％席のみ予約（1名あたり）当日キャンセル - 2800円前日キャンセル - 2800円※お席のみのご利用はサービス料10％頂戴します。※金・祝前日：席料500円頂戴いたします。※12月全日500円頂戴いたします。,東京都足立区千住1-33-9 1F,北千住駅徒歩2分 北千住駅から192m,月・火・水・木・金・土・日・祝日・祝前日・祝後日 16:00 - 00:00,"￥3,000～￥3,999",Non-Info,カード不可 電子マネー不可 QRコード決済不可,,
3.51,大衆酒場ネオ万歳 北千住店,居酒屋、牛タン、立ち飲み,050-5593-0294,予約可,東京都足立区千住1-33-8,千代田線北千住駅徒歩1分、JR北千住駅より徒歩3分♪駅チカの好立地です！ 北千住駅から185m,月・火・水・木・祝後日 18:00 - 00:00 L.O. 料理23:00 ドリンク23:30 金 17:00 - 02:00 L.O. 料理01:00 ドリンク01:30 土 13:00 - 01:00 L.O. 料理00:00 ドリンク00:30 日・祝日 13:00 - 23:00 L.O. 料理22:00 ドリンク22:30 祝前日 17:00 - 01:00 L.O. 料理00:00 ドリンク00:30,"￥4,000～￥4,999",Non-Info,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可 （PayPay）,,適格請求書（インボイス）対応の領収書発行が可能 登録番号：T4011801038249 ※最新の登録状況は国税庁インボイス制度適格請求書発行事業者公表サイトをご確認いただくか、店舗にお問い合わせください。
3.41,伍えん,居酒屋、海鮮、かき,050-5590-4700,予約可 ※貸切の場合はお電話にてお問い合わせください。ご要望、ご相談がありましたら柔軟に対応させていただきます。,東京都足立区千住1-33-1 木戸ビル 1F,■常磐線・日比谷線 北千住駅より徒歩１分■つくばエクスプレス 北千住駅より徒歩５分 北千住駅から234m,月・火・水・木・金・日 17:00 - 00:00 土 12:00 - 00:00 ■定休日不定休,"￥4,000～￥4,999",Non-Info,カード可 （VISA、Master、JCB、AMEX） 電子マネー不可 QRコード決済可 （PayPay）,,
3.39,山形牛一頭買いITAMAE焼肉 美美,焼肉、ホルモン、居酒屋,050-5590-7388,予約可,東京都足立区千住旭町39-7 杉山ビル B1Ｆ,地下鉄 北千住駅 東口 徒歩3分つくばエクスプレス 北千住駅 徒歩3分 北千住駅から197m,月・火・水・木・日 17:00 - 23:00 L.O. 22:00 金・土 17:00 - 23:30 L.O. 22:30 ■ 定休日無休 年末年始（2022年12月31日・2023年1月1日）,"￥10,000～￥14,999",Non-Info,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,,
3.01,てんぐ大ホール 北千住西口店,居酒屋,050-5597-3285,予約可 ※「せんべろ」は予約受付しておりません。,東京都足立区千住2-62-9 うな源ビル 3F,北千住駅 徒歩3分 北千住駅から91m,月・火・水・木・金・土 14:00 - 23:00 日・祝日 14:00 - 22:00 ※12/29・30、1/2・3は日祝の営業時間で営業いたします。■ 営業時間※年末年始、GW、お盆期間は営業日、営業時間が異なる場合がございます。詳しくはテンアライド㈱ホームページにてご確認ください。■ 定休日12月31日/1月1日,Non-Info,Non-Info,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、iD） QRコード決済可 （PayPay、d払い、au PAY）,なし,適格請求書（インボイス）対応の領収書発行が可能 登録番号：T3010001051286 ※最新の登録状況は国税庁インボイス制度適格請求書発行事業者公表サイトをご確認いただくか、店舗にお問い合わせください。
3.20,薩摩しおり,居酒屋、ダイニングバー、バル,050-5593-8720,予約可 ※貸切はお電話にてお問い合わせください。,東京都足立区千住2-54-2 北千住ハリウッドビル 3F,北千住 西口徒歩１分 北千住駅から155m,月・火・水・木・金・祝後日 16:00 - 00:00 土・日・祝日・祝前日 12:00 - 00:00,"￥3,000～￥3,999",Non-Info,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可 （PayPay）,お通し代 550円（税込）,
