星5段階評価,店名,ジャンル,予約・ お問い合わせ,予約可否,住所,交通手段,営業時間,Dinner,Lunch,支払い方法,領収書（適格簡易請求書）,サービス料・チャージ
3.01,てんぐ大ホール 北千住西口店,居酒屋,050-5597-3285,予約可 ※「せんべろ」は予約受付しておりません。,東京都足立区千住2-62-9 うな源ビル 3F,北千住駅 徒歩3分 北千住駅から91m,月・火・水・木・金・土 14:00 - 23:00 日・祝日 14:00 - 22:00 ■ 営業時間※年末年始、GW、お盆期間は営業日、営業時間が異なる場合がございます。詳しくはテンアライド㈱ホームページにてご確認ください。■ 定休日12月31日/1月1日,Non-Info,Non-Info,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、iD） QRコード決済可 （PayPay、d払い、au PAY）,適格請求書（インボイス）対応の領収書発行が可能 登録番号：T3010001051286 ※最新の登録状況は国税庁インボイス制度適格請求書発行事業者公表サイトをご確認いただくか、店舗にお問い合わせください。,なし
3.24,千住Beach（senjubeach）,肉バル、イタリアン、パスタ,050-5590-0562,予約可 ●現在は２Fの＜室内＞ にてご案内させていただいております。●他、予約サイトの反映の時間差で予約が取れない場合がございます。その際はご連絡いたします。●満席になり次第、2時間制を取らせていただいております。●飲み放題付きコース料理の場合は現金のみのご精算になります。,"東京都足立区千住2-65 霜田ビル 2F,4F",北千住駅仲町出口から駅沿いの道を左へ1分です。 北千住駅から113m,月・火・水・木・金 17:30 - 23:30 土 17:00 - 23:30 日・祝日 17:00 - 23:00 ■ 営業時間日曜、祭日は30分繰り上げ営業■ 定休日不定休,"￥5,000～￥5,999",Non-Info,カード可 電子マネー不可 QRコード決済不可,適格請求書（インボイス）対応の領収書発行が可能 登録番号：T4011802027011 ※最新の登録状況は国税庁インボイス制度適格請求書発行事業者公表サイトをご確認いただくか、店舗にお問い合わせください。,テーブルチャージ385円税込お一人
3.42,呑酒場 ウル虎,居酒屋、鍋、かき,050-5571-0520,予約可,東京都足立区千住3-31-15 第二武田ビル 3F,北千住駅西口徒歩５分（日比谷線・千代田線・常磐線・東武スカイツリーライン・半蔵門線・つくばエキスプレス） 北千住駅から391m,火・水・木・金 17:00 - 22:30 L.O. 22:00 土 17:00 - 22:00 L.O. 21:30 日 17:00 - 21:00 L.O. 20:30 月 定休日,"￥6,000～￥7,999",Non-Info,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）,適格請求書（インボイス）対応の領収書発行が可能 登録番号：T7810053850483 ※最新の登録状況は国税庁インボイス制度適格請求書発行事業者公表サイトをご確認いただくか、店舗にお問い合わせください。,金土日祝の席料330円（1時間ごとに220円加算）火水木の席料300円（1時間ごとに200円加算）食べログで席のみ予約の場合は２時間30分まで一律770円（コース料理の場合は2時間30分まで無料です）
3.30,豚とん拍子,居酒屋、もつ焼き、焼き鳥,050-5595-1311,予約可 空席情報などは当日、お電話して頂いて構いません。【席のみ予約について】※ご人数様の変更は当日17:00までにご連絡お願い致します。ご連絡が無かったり、ご連絡が遅れた場合キャンセル料金が発生する場合がございますのでご了承お願い致します。,東京都足立区千住1-32-6 高橋ビル 2F,ＪＲ常磐線 北千住駅 西口 徒歩3分地下鉄千代田線 北千住駅 西口 徒歩1分つくばエクスプレス 北千住駅 西口 徒歩3分東武伊勢崎線（東武スカイツリーライン） 北千住駅 西口 徒歩3分 北千住駅から165m,月・火・水・木・金・祝前日 18:00 - 23:30 L.O. 23:00 土・祝日 17:00 - 23:30 L.O. 23:00 日 定休日 【NEW OPEN】系列店「日本酒バル 異な味な（いなみな）」が5月23日、ついにオープン！厳選された日本酒と相性抜群のお料理をご用意。落ち着いた雰囲気の中で、特別なひとときをお楽しみいただけます。デートはもちろん、ご友人との語らいにもぴったり。皆さまのご来店を心よりお待ちしております！,"￥4,000～￥4,999",Non-Info,カード可 （VISA、Master、JCB） 電子マネー不可 QRコード決済可 （PayPay）,,お通し 400円(税込)
3.36,両国だしもんじゃ もんじ 北千住東口店,もんじゃ焼き、お好み焼き、居酒屋,050-5600-6453,予約可,東京都足立区千住旭町40-27 ビックリヤ旭町ビル 3F,JR北千住駅東口より徒歩2分 北千住駅から155m,月・火・水・木・金・祝前日 16:00 - 23:30 L.O. 料理22:30 ドリンク23:00 土・日・祝日 12:00 - 23:30 L.O. 料理22:30 ドリンク23:00,"￥3,000～￥3,999","￥2,000～￥2,999",カード可 （VISA、Master、JCB、AMEX、Diners、UnionPay） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY、Alipay、WeChat Pay）,適格請求書（インボイス）対応の領収書発行が可能 登録番号：T9010601039989 ※最新の登録状況は国税庁インボイス制度適格請求書発行事業者公表サイトをご確認いただくか、店舗にお問い合わせください。,
3.36,ジャギ飯店（【旧店名】ジャギ飯店×蒸気怪人煙管）,居酒屋、中華料理、餃子,050-5593-7531,予約可,東京都足立区千住1-39-8 ときわビル 3F,北千住駅西口徒歩3分 北千住駅から198m,月・火・水・木・日・祝日 16:30 - 23:30 L.O. 料理22:15 ドリンク23:00 金・土・祝前日 16:30 - 00:00 L.O. 料理22:45 ドリンク23:30 祝後日 16:30 - 23:30 L.O. 料理22:00 ドリンク23:00,"￥5,000～￥5,999",Non-Info,カード可 （VISA、Master、JCB、AMEX） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）,適格請求書（インボイス）対応の領収書発行が可能 登録番号：T7011801028049 ※最新の登録状況は国税庁インボイス制度適格請求書発行事業者公表サイトをご確認いただくか、店舗にお問い合わせください。,
3.06,焼肉ホルモンミンちゃん,焼肉、居酒屋、ホルモン,050-5456-2122,予約可,東京都足立区千住旭町3-7 フォーチュンビル 2F,北千住駅 東口を出てすぐ デイリーヤマザキさんの2階にございます！ 北千住駅から78m,月・火・水・木・金・祝後日 11:00 - 14:30 17:00 - 22:00 土・日・祝日・祝前日 11:00 - 22:30 L.O. 22:00 不定休,Non-Info,Non-Info,カード可 （VISA、Master、JCB、AMEX、Diners、UnionPay） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、QUICPay） QRコード決済可 （PayPay、d払い、Alipay）,,なし
3.02,個室居酒屋で鳥料理 鶏あえず 北千住店,居酒屋、鳥料理、焼き鳥,050-5456-9124,予約可,東京都足立区千住1-33-8 2F,東京メトロ北千住駅1出口より徒歩約2分ＪＲ常磐線快速北千住駅仲町口より徒歩約7分 北千住駅から186m,月・火・水・木・金・土・日・祝日・祝前日・祝後日 17:00 - 00:00,Non-Info,Non-Info,カード可 （VISA、Master） 電子マネー不可 QRコード決済可 （PayPay）,,
3.05,しゃぶしゃぶ温野菜 北千住店,しゃぶしゃぶ、ビュッフェ、居酒屋,050-5594-4359,予約可,東京都足立区千住2-61 ビックリヤ北千住西口ビル 2F,北千住駅徒歩1分 北千住駅から89m,月・火・水・木・金・祝前日 16:00 - 23:00 L.O. 22:30 土・日・祝日 11:00 - 23:00 L.O. 22:30 ■定休日：年中無休お盆期間、年末年始の営業時間は、公式ホームページもしくは店舗にお問い合わせください,"￥4,000～￥4,999",Non-Info,カード可 （VISA、Master、JCB、AMEX、Diners、UnionPay） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY、Alipay、WeChat Pay）,,
3.34,Cabana（カバナ）,スペイン料理、居酒屋、バル,050-5456-0593,予約可,東京都足立区千住3-68-20,JR・東京メトロ・東武「北千住駅」西口より徒歩3分「宿場町商店街」美容室raveさん、居酒屋アカマルさんの間の小道の先に明るい真っ赤な看板が目印♫ 北千住駅から270m,火・水・木・金・土・日 17:00 - 22:30 L.O. 22:00 月 定休日 ■ 営業時間【ランチ】お休み中,"￥6,000～￥7,999","￥1,000～￥1,999",カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、iD、QUICPay） QRコード決済可 （PayPay、d払い）,,300円（税込）
3.31,やきとんうまいもん横丁 まるたか 北千住店,居酒屋、もつ焼き、焼き鳥,050-5570-2174,予約可 一部貸切は20名様以上、全席貸切は35名様以上で承ります。お電話でご相談ください。,東京都足立区千住2-65 須田ビル 1F,ＪＲ常磐線 北千住駅 西口 地下鉄千代田線 北千住駅 西口 北千住駅から168m,17:00 - 23:30 L.O. 23:00 ■ 定休日不定休,"￥3,000～￥3,999",Non-Info,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,適格請求書（インボイス）対応の領収書発行が可能 登録番号：T4011701014820 ※最新の登録状況は国税庁インボイス制度適格請求書発行事業者公表サイトをご確認いただくか、店舗にお問い合わせください。,お通し352円（税込）
3.27,おいらんち,居酒屋、海鮮、焼き鳥,050-5590-9737,予約可,東京都足立区千住2-25-1 やよいビル B1F,東京メトロ千代田線，ＪＲ北千住駅４出口より徒歩約3分/東武伊勢崎線，つくばエクスプレス，東京メトロ日比谷線，ＪＲ常磐線快速北千住駅西口より徒歩約4分 北千住駅から257m,"月・火・水・木・金 16:00 - 00:00 土・日・祝日・祝前日 13:00 - 00:00 ・年末年始の営業時間について12月 19,20,26~30日1月 1,2,3,4日上記日は13時~24時で営業しております。1月5日は休業となります。その他通常営業となりますが不明点等あればお気軽にお問い合わせ下さい。","￥4,000～￥4,999",Non-Info,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）,,
3.30,おさかな心技体,居酒屋、海鮮,050-5456-5071,予約可,東京都足立区千住2-62 さつき壮 1F,北千住駅西口徒歩2分 北千住駅から111m,月・火・木・金・土・日 15:00 - 00:00 L.O. 料理23:00 ドリンク23:30 水 定休日,"￥4,000～￥4,999",Non-Info,カード不可 電子マネー不可 QRコード決済不可,,
